GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ImageProcessor,DanielAnufrievGit,ImageProcessor,151,0,8,0,23,0,7,0,3,0
ImageProcessor,DanielAnufrievGit,GaussianBlur,217,0,8,0,32,0,6,0,2,0
